Date,Open,High,Low,Close,Adj Close,Volume
2023-10-19,57.669998,57.869999,56.910000,57.250000,57.250000,2057700
2023-10-20,57.459999,57.770000,57.209999,57.270000,57.270000,1845000
2023-10-23,57.049999,57.270000,56.580002,56.650002,56.650002,2187000
2023-10-24,56.560001,57.139999,56.459999,57.060001,57.060001,2033000
2023-10-25,56.520000,57.610001,56.430000,57.299999,57.299999,2061900
2023-10-26,56.220001,56.959999,56.150002,56.820000,56.820000,3005400
2023-10-27,57.040001,57.160000,56.290001,56.330002,56.330002,2304400
2023-10-30,56.930000,57.360001,56.919998,57.299999,57.299999,1554900
2023-10-31,56.880001,56.930000,56.049999,56.549999,56.549999,1676000
2023-11-01,56.750000,56.840000,56.290001,56.540001,56.540001,2262900
2023-11-02,56.860001,57.959999,56.660000,57.830002,57.830002,1642100
2023-11-03,58.000000,58.639999,57.900002,57.900002,57.900002,1664900
2023-11-06,57.919998,58.110001,56.880001,57.279999,57.279999,1939900
2023-11-07,57.070000,57.169998,55.950001,56.349998,56.349998,3677900
2023-11-08,56.700001,56.820000,56.299999,56.610001,56.610001,1750300
2023-11-09,57.000000,57.029999,56.160000,56.169998,56.169998,1637700
2023-11-10,56.560001,57.389999,56.450001,57.320000,57.320000,2268300
2023-11-13,57.200001,57.430000,57.009998,57.180000,57.180000,1861300
2023-11-14,58.369999,59.060001,58.270000,58.700001,58.700001,2432100
2023-11-15,58.669998,58.970001,58.490002,58.520000,58.520000,1563400
2023-11-16,58.459999,58.610001,57.610001,57.790001,57.790001,1296300
2023-11-17,58.099998,58.270000,57.619999,58.139999,58.139999,1019800
2023-11-20,57.919998,58.410000,57.740002,58.270000,58.270000,1174900
2023-11-21,58.660000,59.270000,58.529999,58.849998,58.849998,2091100
2023-11-22,58.939999,59.099998,58.610001,58.639999,58.639999,983000
2023-11-24,59.169998,59.529999,58.970001,59.500000,59.500000,736300
2023-11-27,59.250000,59.480000,58.860001,58.889999,58.889999,1360700
2023-11-28,59.000000,59.730000,58.770000,59.349998,59.349998,2119200
2023-11-29,59.860001,60.799999,59.740002,60.549999,60.549999,3120800
2023-11-30,60.310001,60.820000,59.810001,60.040001,60.040001,2394500
2023-12-01,59.500000,60.830002,59.270000,60.709999,60.709999,1818800
